TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"8528089","Magic","Aetherdrift","Full Throttle (Extended Art)","","386","R","Near Mint","2.08","2.37","2.3100","1.0000","0","0","2.3500",""
"8542265","Magic","Aetherdrift","Gas Guzzler","","85","R","Near Mint","0.13","0.15","1.3900","0.0800","0","0","0.2600",""
"8542205","Magic","Aetherdrift","Gas Guzzler (Borderless)","","338","R","Near Mint","0.23","0.25","1.4100","0.1000","1","0","0.3500",""
"8548214","Magic","Aetherdrift","Gastal Thrillroller","","129","R","Near Mint","0.09","0.10","1.3200","0.0100","5","0","0.3500",""
"8548219","Magic","Aetherdrift","Gastal Thrillroller","","129","R","Near Mint Foil","0.10","0.10","1.3600","0.0500","1","0","0.3500",""
"8548274","Magic","Aetherdrift","Gastal Thrillroller (Borderless)","","313","R","Near Mint","0.12","0.12","1.3300","0.0200","1","0","0.3500",""
"8548279","Magic","Aetherdrift","Gastal Thrillroller (Borderless)","","313","R","Near Mint Foil","0.31","0.27","1.4000","0.0900","1","0","0.3500",""
"8545892","Magic","Aetherdrift","Gonti, Night Minister","","87","R","Near Mint","0.55","0.75","1.6300","0.3200","0","0","0.5600",""
"8545897","Magic","Aetherdrift","Gonti, Night Minister","","87","R","Near Mint Foil","0.60","0.78","1.6600","0.3500","0","0","0.4900",""
"8545832","Magic","Aetherdrift","Gonti, Night Minister (Borderless)","","357","R","Near Mint","1.57","2.52","2.0400","0.7300","0","0","1.6500",""
"8545266","Magic","Aetherdrift","Guardian Sunmare","","15","R","Near Mint","0.19","0.20","1.3900","0.0800","3","0","0.3500",""
"8545271","Magic","Aetherdrift","Guardian Sunmare","","15","R","Near Mint Foil","0.27","0.27","1.4100","0.1000","1","0","0.3500",""
"8545206","Magic","Aetherdrift","Guardian Sunmare (Borderless)","","334","R","Near Mint","0.24","0.24","1.4100","0.1000","0","0","0.5300",""
"8545211","Magic","Aetherdrift","Guardian Sunmare (Borderless)","","334","R","Near Mint Foil","0.30","0.31","1.4100","0.1000","0","0","1.8500",""
"8524114","Magic","Aetherdrift","Hazoret, Godseeker","","133","M","Near Mint","0.46","0.49","1.5800","0.2700","0","0","2.8800",""
"8524044","Magic","Aetherdrift","Hazoret, Godseeker (Borderless)","","347","M","Near Mint","1.14","1.65","2.0100","0.7000","0","0","3.7100",""
"8550217","Magic","Aetherdrift","Howlsquad Heavy","","134","R","Near Mint","0.75","0.95","1.7600","0.4500","0","0","1.1700",""
"8550222","Magic","Aetherdrift","Howlsquad Heavy","","134","R","Near Mint Foil","0.96","0.94","1.8100","0.5000","0","0","1.6200",""
"8550282","Magic","Aetherdrift","Howlsquad Heavy (Borderless)","","342","R","Near Mint","0.81","1.24","1.7100","0.4000","0","0","1.4200",""
"8526256","Magic","Aetherdrift","Island (0508) (First-Place Foil)","","508","L","Near Mint Foil","0.94","1.16","1.5600","0.2500","0","0","1.4400",""
"8527684","Magic","Aetherdrift","Ketramose, the New Dawn","","209","M","Near Mint","10.30","11.42","10.1900","8.9700","0","0","16.5700",""
"8529233","Magic","Aetherdrift","Ketramose, the New Dawn (Borderless)","","350","M","Near Mint","11.08","11.19","9.9900","7.9900","0","0","34.1900",""
"8519812","Magic","Aetherdrift","Kolodin, Triumph Caster","","210","R","Near Mint","0.12","0.12","1.3600","0.0500","1","0","0.3500",""
"8521552","Magic","Aetherdrift","Kolodin, Triumph Caster (Borderless)","","364","R","Near Mint","0.28","0.25","1.4100","0.1000","0","0","0.4200",""
"8490994","Magic","Aetherdrift","Lifecraft Engine","","234","R","Near Mint","0.18","0.22","1.3900","0.0800","5","0","0.3500",""
"8491054","Magic","Aetherdrift","Lifecraft Engine (Borderless)","","329","R","Near Mint","0.30","0.34","1.4000","0.0900","0","0","0.3500",""
"8519932","Magic","Aetherdrift","Loot, the Pathfinder","","212","M","Near Mint","0.62","0.76","1.6900","0.3800","0","0","4.6800",""
"8519962","Magic","Aetherdrift","Loot, the Pathfinder","","212","M","Near Mint Foil","1.37","1.13","2.0600","0.7500","0","0","4.4000",""
"8550092","Magic","Aetherdrift","Loot, the Pathfinder (Extended Art)","","391","M","Near Mint","1.29","1.28","2.1700","0.8600","0","0","5.0700",""
"8550097","Magic","Aetherdrift","Loot, the Pathfinder (Extended Art)","","391","M","Near Mint Foil","1.49","1.58","2.3100","1.0000","0","0","6.1100",""
"8524799","Magic","Aetherdrift","Loot, the Pathfinder (First-Place Foil)","","484","M","Near Mint Foil","13.50","13.12","9.0000","9.0000","2","0","13.5000",""
"8546788","Magic","Aetherdrift","Lumbering Worldwagon","","168","R","Near Mint","0.48","0.66","1.5200","0.2100","0","0","0.3900",""
"8546793","Magic","Aetherdrift","Lumbering Worldwagon","","168","R","Near Mint Foil","0.45","0.66","1.6000","0.2900","0","0","0.6200",""
"8546702","Magic","Aetherdrift","Lumbering Worldwagon (Borderless)","","316","R","Near Mint","0.36","0.53","1.4100","0.1000","0","0","0.3400",""
"8546707","Magic","Aetherdrift","Lumbering Worldwagon (Borderless)","","316","R","Near Mint Foil","0.53","0.72","1.4900","0.1800","0","0","0.7300",""
"8528324","Magic","Aetherdrift","Marauding Mako","","138","U","Near Mint","0.46","0.51","1.5800","0.2700","0","0","1.9400",""
"8528329","Magic","Aetherdrift","Marauding Mako","","138","U","Near Mint Foil","2.03","2.89","1.7900","0.4800","0","0","1.6000",""
"8533192","Magic","Aetherdrift","March of the World Ooze","","169","M","Near Mint","2.28","2.60","2.7300","1.4200","0","0","4.5100",""
"8535737","Magic","Aetherdrift","March of the World Ooze (Extended Art)","","388","M","Near Mint","2.48","2.36","2.9700","1.6600","0","0","4.2400",""
"8535707","Magic","Aetherdrift","March of the World Ooze (Showcase)","","402","M","Near Mint Foil - Japanese","2.46","","3.2900","1.9800","0","0","5.8600",""
"8529333","Magic","Aetherdrift","Marketback Walker","","235","R","Near Mint","0.63","0.67","1.5400","0.2300","0","0","1.3300",""
"8529338","Magic","Aetherdrift","Marketback Walker","","235","R","Near Mint Foil","0.86","0.78","1.8100","0.5000","0","0","1.9600",""
"8529298","Magic","Aetherdrift","Marketback Walker (Extended Art)","","393","R","Near Mint Foil","1.04","1.04","1.6600","0.3500","0","0","2.7000",""
"8530337","Magic","Aetherdrift","Marshals' Pathcruiser","","236","U","Near Mint","0.06","0.01","1.3200","0.0100","8","0","0.3500",""
"8530367","Magic","Aetherdrift","Marshals' Pathcruiser","","236","U","Near Mint Foil","0.06","0.02","1.3200","0.0100","1","0","0.3500",""
"8551869","Magic","Aetherdrift","Memory Guardian","","49","U","Near Mint","0.13","0.12","1.3500","0.0400","0","0","0.2900",""
"8551874","Magic","Aetherdrift","Memory Guardian","","49","U","Near Mint Foil","0.17","0.14","1.3900","0.0800","0","0","0.4400",""
"8519992","Magic","Aetherdrift","Mendicant Core, Guidelight","","213","R","Near Mint","0.57","0.65","1.5900","0.2800","0","0","1.0800",""
"8520022","Magic","Aetherdrift","Mendicant Core, Guidelight","","213","R","Near Mint Foil","0.68","0.88","1.6100","0.3000","0","0","1.2300",""
"8521612","Magic","Aetherdrift","Mendicant Core, Guidelight (Borderless)","","365","R","Near Mint","1.90","2.48","1.8100","0.5000","0","0","1.9500",""
"8547291","Magic","Aetherdrift","Mimeoplasm, Revered One","","214","M","Near Mint","0.31","0.37","1.4100","0.1000","0","0","0.4700",""
"8547296","Magic","Aetherdrift","Mimeoplasm, Revered One","","214","M","Near Mint Foil","0.94","0.35","1.6100","0.3000","0","0","0.8900",""
"8533132","Magic","Aetherdrift","Mindspring Merfolk","","51","R","Near Mint","0.32","0.36","1.4100","0.1000","0","0","0.3700",""
